,actual,predicted,difference,mae,mse
4321,6.806818,20.282507,-13.475689,13.475689,181.5942
4322,8.465909,14.140552,-5.6746426,5.6746426,32.20157
4323,19.25,12.091202,7.158798,7.158798,51.24839
4324,35.840908,16.84053,19.000378,19.000378,361.01434
4325,40.818184,27.458803,13.359381,13.359381,178.47305
4326,47.454544,35.151043,12.303501,12.303501,151.37614
4327,37.5,41.95482,-4.4548187,4.4548187,19.84541
4328,31.693182,39.49229,-7.7991085,7.7991085,60.82609
4329,25.886364,34.319893,-8.433529,8.433529,71.12441
4330,17.59091,28.722113,-11.131203,11.131203,123.90367
4331,11.784091,21.98936,-10.20527,10.20527,104.14753
4332,22.568182,16.45403,6.114153,6.114153,37.382866
4333,13.443182,19.935652,-6.49247,6.49247,42.152164
4334,12.613637,17.187326,-4.5736895,4.5736895,20.918634
4335,14.272728,15.392654,-1.1199265,1.1199265,1.2542353
4336,15.102273,15.63344,-0.53116703,0.53116703,0.2821384
4337,20.079546,16.21218,3.8673668,3.8673668,14.956526
4338,15.102273,18.982384,-3.8801107,3.8801107,15.05526
4339,13.443182,17.647976,-4.204794,4.204794,17.680292
4340,10.125001,16.060738,-5.9357367,5.9357367,35.23297
4341,8.465909,13.822337,-5.356428,5.356428,28.691322
4342,5.977273,12.163579,-6.186306,6.186306,38.270382
4343,5.977273,10.435728,-4.458455,4.458455,19.877821
4344,1.8295455,9.831623,-8.002077,8.002077,64.03324
4345,3.4886365,7.7506638,-4.2620273,4.2620273,18.164877
4346,10.125001,7.738117,2.3868837,2.3868837,5.697214
4347,25.05682,10.932128,14.124692,14.124692,199.50693
4348,59.068184,19.54156,39.526627,39.526627,1562.3542
4349,54.920456,40.682858,14.237598,14.237598,202.70921
4350,44.136364,49.55413,-5.4177666,5.4177666,29.352194
4351,31.693182,46.996113,-15.302931,15.302931,234.17969
4352,14.272728,37.735798,-23.46307,23.46307,550.5156
4353,10.954546,23.254902,-12.300356,12.300356,151.29875
4354,8.465909,15.94229,-7.4763813,7.4763813,55.89628
4355,8.465909,12.61147,-4.145561,4.145561,17.185678
4356,6.806818,11.681779,-4.874961,4.874961,23.765244
4357,9.295455,10.711643,-1.4161882,1.4161882,2.0055892
4358,15.931819,11.546614,4.3852053,4.3852053,19.230024
4359,15.931819,15.161413,0.77040577,0.77040577,0.59352505
4360,17.59091,16.676943,0.91396713,0.91396713,0.8353359
4361,16.761364,17.965828,-1.204464,1.204464,1.4507334
4362,22.568182,18.020481,4.547701,4.547701,20.681583
4363,26.71591,20.900158,5.815752,5.815752,33.82297
4364,23.397728,24.372013,-0.9742851,0.9742851,0.9492315
4365,30.034092,24.066034,5.9680576,5.9680576,35.61771
4366,41.647728,27.200146,14.447582,14.447582,208.73264
4367,21.738636,34.87887,-13.140232,13.140232,172.6657
4368,16.761364,27.709684,-10.94832,10.94832,119.86572
4369,29.204546,21.169662,8.0348835,8.0348835,64.55935
4370,25.05682,25.11598,-0.059160233,0.059160233,0.003499933
4371,37.5,25.190737,12.309263,12.309263,151.51796
4372,44.136364,31.638716,12.497648,12.497648,156.19121
4373,55.75,38.456833,17.293167,17.293167,299.05362
4374,74.0,47.672882,26.327118,26.327118,693.1171
4375,46.625,61.570488,-14.945488,14.945488,223.36761
4376,20.079546,54.459164,-34.379616,34.379616,1181.958
4377,15.102273,33.99873,-18.896458,18.896458,357.0761
4378,10.954546,21.44715,-10.492603,10.492603,110.09473
4379,10.125001,15.338135,-5.213134,5.213134,27.176764
4380,10.954546,13.305848,-2.3513021,2.3513021,5.5286217
4381,13.443182,13.22885,0.21433163,0.21433163,0.045938045
4382,8.465909,14.510238,-6.0443287,6.0443287,36.53391
4383,11.784091,12.623762,-0.83967113,0.83967113,0.7050476
4384,16.761364,13.38272,3.378644,3.378644,11.4152355
4385,33.352272,16.252592,17.09968,17.09968,292.39905
4386,47.454544,25.86481,21.589733,21.589733,466.11658
4387,24.227272,37.832474,-13.605202,13.605202,185.10152
4388,22.568182,30.71718,-8.148998,8.148998,66.40617
4389,12.613637,25.47537,-12.861733,12.861733,165.4242
4390,10.125001,18.199707,-8.074706,8.074706,65.20088
4391,8.465909,14.178492,-5.7125826,5.7125826,32.6336
4392,15.931819,12.216557,3.7152624,3.7152624,13.803175
4393,25.886364,15.237258,10.649106,10.649106,113.40346
